ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,Timestamp,DynamicPrice,OccupancyRate,PriceChange
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,2016-10-04 07:59:00,10.317157712305026,0.10571923743500866,0.31715771230502554
1312,BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0,2016-10-04 07:59:00,10.930232558139535,0.31007751937984496,0.9302325581395348
2624,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,2016-10-04 07:59:00,10.746808510638298,0.24893617021276596,0.7468085106382976
3936,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,2016-10-04 07:59:00,11.152838427947598,0.38427947598253276,1.1528384279475983
5248,BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0,2016-10-04 07:59:00,10.5925,0.1975,0.5924999999999994
6560,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,2016-10-04 07:59:00,11.54020618556701,0.51340206185567,1.5402061855670102
7872,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,2016-10-04 07:59:00,10.773913043478261,0.2579710144927536,0.7739130434782613
9184,Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0,2016-10-04 07:59:00,11.058735689397711,0.35291189646590343,1.058735689397711
10496,Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0,2016-10-04 07:59:00,10.208704958972529,0.06956831965750981,0.20870495897252894
11808,Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0,2016-10-04 07:59:00,10.835178985320628,0.27839299510687615,0.8351789853206277
13120,Others-CCCPS202,2937,26.14749053,91.72799688,547,bike,low,2,0,2016-10-04 07:59:00,10.55873340143003,0.18624446714334356,0.5587334014300307
14432,Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0,2016-10-04 07:59:00,11.009833585476551,0.33661119515885024,1.0098335854765512
15744,Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0,2016-10-04 07:59:00,10.568482114083146,0.1894940380277151,0.568482114083146
17056,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,2016-10-04 07:59:00,10.959375,0.31979166666666664,0.9593749999999996
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,2016-10-04 08:25:00,10.332755632582323,0.11091854419410745,0.3327556325823231
1313,BHMBCCTHL01,387,26.14449459,91.73620513,129,car,average,2,0,2016-10-04 08:25:00,11.0,0.3333333333333333,1.0
