Timestamp,ParkingID,Occupancy,Capacity,OccupancyRate,PreviousPrice,PriceAdjustment,NewPrice
2016-10-04 07:59:00,0,61,577,0.10571923743500866,10.0,0.317157712305026,10.317157712305026
2016-10-04 07:59:00,1312,120,387,0.31007751937984496,10.0,0.9302325581395349,10.930232558139535
2016-10-04 07:59:00,2624,117,470,0.24893617021276596,10.0,0.7468085106382979,10.746808510638298
2016-10-04 07:59:00,3936,264,687,0.38427947598253276,10.0,1.1528384279475983,11.152838427947598
2016-10-04 07:59:00,5248,237,1200,0.1975,10.0,0.5925,10.5925
2016-10-04 07:59:00,6560,249,485,0.51340206185567,10.0,1.5402061855670102,11.54020618556701
2016-10-04 07:59:00,7872,178,690,0.2579710144927536,10.0,0.7739130434782608,10.773913043478261
2016-10-04 07:59:00,9184,709,2009,0.35291189646590343,10.0,1.0587356893977102,11.058735689397711
2016-10-04 07:59:00,10496,195,2803,0.06956831965750981,10.0,0.20870495897252944,10.208704958972529
2016-10-04 07:59:00,11808,1081,3883,0.27839299510687615,10.0,0.8351789853206284,10.835178985320628
2016-10-04 07:59:00,13120,547,2937,0.18624446714334356,10.0,0.5587334014300307,10.55873340143003
2016-10-04 07:59:00,14432,445,1322,0.33661119515885024,10.0,1.0098335854765508,11.009833585476551
2016-10-04 07:59:00,15744,588,3103,0.1894940380277151,10.0,0.5684821140831453,10.568482114083146
2016-10-04 07:59:00,17056,614,1920,0.31979166666666664,10.0,0.9593749999999999,10.959375
2016-10-04 08:25:00,1,64,577,0.11091854419410745,10.0,0.3327556325823223,10.332755632582323
2016-10-04 08:25:00,1313,129,387,0.3333333333333333,10.0,1.0,11.0
2016-10-04 08:25:00,2625,174,470,0.3702127659574468,10.0,1.1106382978723404,11.11063829787234
2016-10-04 08:25:00,3937,302,687,0.4395924308588064,10.0,1.3187772925764192,11.318777292576419
2016-10-04 08:25:00,5249,315,1200,0.2625,10.0,0.7875000000000001,10.7875
2016-10-04 08:25:00,6561,267,485,0.5505154639175258,10.0,1.6515463917525774,11.651546391752577
